NOCM;YEARM;M
PAK;2004;24
PAK;2008;20
PAK;2010;1
PAK;2012;19
PAK;2014;1
PAK;2016;4
PAN;2000;4
PAN;2004;3
PAN;2008;3
PAN;2012;6
PAN;2016;5
PAR;2000;2
PAR;2004;20
PAR;2008;3
PAR;2012;6
PAR;2016;6
PER;2000;9
PER;2004;9
PER;2008;7
PER;2010;3
PER;2012;9
PER;2014;3
PER;2016;19
PHI;2000;12
PHI;2004;16
PHI;2008;11
PHI;2012;7
PHI;2014;1
PHI;2016;7
PLE;2000;1
PLE;2004;2
PLE;2008;2
PLE;2012;3
PLE;2016;4
PLW;2000;2
PLW;2004;2
PLW;2008;3
PLW;2012;2
PLW;2016;3
PNG;2000;2
PNG;2004;4
PNG;2008;5
PNG;2012;4
PNG;2016;6
POL;2000;161
POL;2002;46
POL;2004;152
POL;2006;57
POL;2008;181
POL;2010;45
POL;2012;145
POL;2014;76
POL;2016;164
POR;2000;51
POR;2004;75
POR;2006;1
POR;2008;58
POR;2010;1
POR;2012;56
POR;2014;2
POR;2016;72
PRK;2000;21
PRK;2004;20
PRK;2006;2
PRK;2008;22
PRK;2010;1
PRK;2012;17
PRK;2016;13
PUR;2000;31
PUR;2004;39
PUR;2008;24
PUR;2012;19
PUR;2016;13
QAT;2000;19
QAT;2004;15
QAT;2008;20
QAT;2012;9
QAT;2016;40
ROT;2016;7
ROU;2000;124
ROU;2002;20
ROU;2004;95
ROU;2006;27
ROU;2008;84
ROU;2010;21
ROU;2012;82
ROU;2014;25
ROU;2016;46
RSA;2000;112
RSA;2002;4
RSA;2004;79
RSA;2006;9
RSA;2008;99
RSA;2010;2
RSA;2012;84
RSA;2016;109
RUS;2000;333
RUS;2002;138
RUS;2004;328
RUS;2006;172
RUS;2008;315
RUS;2010;153
RUS;2012;266
RUS;2014;201
RUS;2016;203
RWA;2000;3
RWA;2004;3
RWA;2008;2
RWA;2012;5
RWA;2016;4
SAM;2000;4
SAM;2004;2
SAM;2008;5
SAM;2012;6
SAM;2016;5
SCG;2000;99
SCG;2002;6
SCG;2004;87
SCG;2006;5
SEN;2000;9
SEN;2004;8
SEN;2006;3
SEN;2008;10
SEN;2010;2
SEN;2012;25
SEN;2016;6
SEY;2000;6
SEY;2004;8
SEY;2008;7
SEY;2012;4
SEY;2016;8
SGP;2000;10
SGP;2004;7
SGP;2008;13
SGP;2012;12
SGP;2016;12
SKN;2000;2
SKN;2004;1
SKN;2008;2
SKN;2012;7
SKN;2016;8
SLE;2000;2
SLE;2004;1
SLE;2008;2
SLE;2012;1
SLE;2016;2
SLO;2000;64
SLO;2002;55
SLO;2004;67
SLO;2006;57
SLO;2008;46
SLO;2010;61
SLO;2012;30
SLO;2014;75
SLO;2016;41
SMR;2000;3
SMR;2002;1
SMR;2004;4
SMR;2006;1
SMR;2008;2
SMR;2010;1
SMR;2012;1
SMR;2014;1
SMR;2016;2
SOL;2000;1
SOL;2004;1
SOL;2008;1
SOL;2012;2
SOL;2016;1
SOM;2000;1
SOM;2004;1
SOM;2008;1
SOM;2012;1
SOM;2016;1
SRB;2008;70
SRB;2010;7
SRB;2012;92
SRB;2014;12
SRB;2016;70
SRI;2000;11
SRI;2004;4
SRI;2008;5
SRI;2012;5
SRI;2016;8
SSD;2016;2
STP;2000;1
STP;2004;1
STP;2008;3
STP;2012;1
STP;2016;2
SUD;2000;2
SUD;2004;3
SUD;2008;5
SUD;2012;4
SUD;2016;4
SUI;2000;83
SUI;2002;121
SUI;2004;80
SUI;2006;119
SUI;2008;68
SUI;2010;124
SUI;2012;89
SUI;2014;125
SUI;2016;91
SUR;2000;2
SUR;2004;2
SUR;2008;2
SUR;2012;3
SUR;2016;4
SVK;2000;96
SVK;2002;56
SVK;2004;58
SVK;2006;76
SVK;2008;39
SVK;2010;64
SVK;2012;35
SVK;2014;74
SVK;2016;39
SWE;2000;123
SWE;2002;86
SWE;2004;82
SWE;2006;95
SWE;2008;72
SWE;2010;92
SWE;2012;66
SWE;2014;84
SWE;2016;74
SWZ;2000;4
SWZ;2004;2
SWZ;2008;2
SWZ;2012;2
SWZ;2016;1
SYR;2000;6
SYR;2004;5
SYR;2008;6
SYR;2012;6
SYR;2016;4
TAN;2000;3
TAN;2004;7
TAN;2008;7
TAN;2012;4
TAN;2016;5
TGA;2000;2
TGA;2004;4
TGA;2008;2
TGA;2012;2
TGA;2014;1
TGA;2016;4
THA;2000;42
THA;2002;2
THA;2004;30
THA;2006;1
THA;2008;23
THA;2012;22
THA;2014;2
THA;2016;28
TJK;2000;2
TJK;2002;2
TJK;2004;5
TJK;2006;3
TJK;2008;13
TJK;2010;4
TJK;2012;13
TJK;2014;1
TJK;2016;5
TKM;2000;4
TKM;2004;7
TKM;2008;6
TKM;2012;7
TKM;2016;4
TLS;2004;1
TLS;2012;1
TLS;2014;1
TLS;2016;1
TOG;2000;2
TOG;2004;2
TOG;2008;3
TOG;2012;4
TOG;2016;2
TPE;2000;33
TPE;2002;6
TPE;2004;57
TPE;2006;1
TPE;2008;48
TPE;2010;1
TPE;2012;22
TPE;2014;5
TPE;2016;31
TTO;2000;22
TTO;2002;3
TTO;2004;16
TTO;2008;22
TTO;2012;26
TTO;2016;25
TUN;2000;40
TUN;2004;52
TUN;2008;17
TUN;2012;66
TUN;2016;44
TUR;2000;47
TUR;2002;3
TUR;2004;47
TUR;2006;10
TUR;2008;50
TUR;2010;3
TUR;2012;52
TUR;2014;5
TUR;2016;65
TUV;2008;2
TUV;2012;2
TUV;2016;1
UAE;2000;5
UAE;2004;5
UAE;2008;7
UAE;2012;24
UAE;2016;9
UGA;2000;9
UGA;2004;9
UGA;2008;9
UGA;2012;12
UGA;2016;15
UKR;2000;216
UKR;2002;68
UKR;2004;195
UKR;2006;61
UKR;2008;161
UKR;2010;44
UKR;2012;161
UKR;2014;45
UKR;2016;127
URU;2000;14
URU;2004;16
URU;2008;10
URU;2012;24
URU;2016;12
USA;2000;424
USA;2002;178
USA;2004;386
USA;2006;187
USA;2008;397
USA;2010;196
USA;2012;346
USA;2014;209
USA;2016;350
UZB;2000;58
UZB;2002;3
UZB;2004;57
UZB;2006;2
UZB;2008;49
UZB;2010;2
UZB;2012;37
UZB;2014;3
UZB;2016;53
VAN;2000;2
VAN;2004;1
VAN;2008;1
VAN;2012;3
VAN;2016;4
VEN;2000;43
VEN;2002;3
VEN;2004;35
VEN;2006;1
VEN;2008;68
VEN;2012;49
VEN;2014;1
VEN;2016;76
VIE;2000;3
VIE;2004;6
VIE;2008;8
VIE;2012;8
VIE;2016;12
VIN;2000;2
VIN;2004;2
VIN;2008;1
VIN;2012;2
VIN;2016;2
YEM;2000;1
YEM;2004;3
YEM;2008;7
YEM;2012;3
YEM;2016;2
ZAM;2000;6
ZAM;2004;4
ZAM;2008;6
ZAM;2012;5
ZAM;2016;5
ZIM;2000;18
ZIM;2004;9
ZIM;2008;8
ZIM;2012;4
ZIM;2014;2
ZIM;2016;9
