NOC;YEAR;F
SGP;2004;15
SGP;2008;23
SGP;2012;24
SGP;2016;20
SKN;2000;2
SKN;2004;1
SKN;2008;4
SKN;2016;1
SLE;2000;1
SLE;2004;1
SLE;2008;1
SLE;2012;1
SLE;2016;2
SLO;2000;26
SLO;2002;41
SLO;2004;35
SLO;2006;39
SLO;2008;27
SLO;2010;46
SLO;2012;48
SLO;2014;41
SLO;2016;29
SMR;2000;1
SMR;2004;1
SMR;2008;2
SMR;2012;3
SMR;2014;1
SMR;2016;2
SOL;2000;1
SOL;2004;1
SOL;2008;2
SOL;2012;2
SOL;2016;2
SOM;2000;1
SOM;2004;1
SOM;2008;1
SOM;2012;1
SOM;2016;1
SRB;2008;27
SRB;2010;8
SRB;2012;42
SRB;2014;5
SRB;2016;57
SRI;2000;13
SRI;2004;4
SRI;2008;4
SRI;2012;3
SRI;2016;2
SSD;2016;1
STP;2000;1
STP;2004;1
STP;2008;1
STP;2012;1
STP;2016;1
SUD;2000;1
SUD;2004;1
SUD;2008;4
SUD;2012;2
SUD;2016;2
SUI;2000;55
SUI;2002;46
SUI;2004;58
SUI;2006;62
SUI;2008;48
SUI;2010;66
SUI;2012;37
SUI;2014;94
SUI;2016;61
SUR;2000;3
SUR;2004;2
SUR;2008;2
SUR;2012;2
SUR;2016;2
SVK;2000;36
SVK;2002;23
SVK;2004;26
SVK;2006;38
SVK;2008;28
SVK;2010;43
SVK;2012;30
SVK;2014;41
SVK;2016;24
SWE;2000;75
SWE;2002;73
SWE;2004;75
SWE;2006;73
SWE;2008;97
SWE;2010;80
SWE;2012;102
SWE;2014;64
SWE;2016;112
SWZ;2000;2
SWZ;2004;1
SWZ;2008;2
SWZ;2012;1
SWZ;2016;1
SYR;2000;2
SYR;2004;1
SYR;2008;1
SYR;2012;4
SYR;2016;3
TAN;2000;1
TAN;2004;2
TAN;2008;2
TAN;2012;2
TAN;2016;2
TGA;2000;1
TGA;2004;1
TGA;2008;1
TGA;2012;1
TGA;2016;3
THA;2000;26
THA;2004;21
THA;2008;30
THA;2012;21
THA;2014;1
THA;2016;30
TJK;2000;2
TJK;2004;4
TJK;2008;3
TJK;2012;3
TJK;2016;2
TKM;2000;4
TKM;2004;3
TKM;2008;4
TKM;2012;3
TKM;2016;5
TLS;2004;1
TLS;2008;1
TLS;2012;1
TLS;2016;2
TOG;2000;1
TOG;2004;1
TOG;2008;1
TOG;2012;2
TOG;2014;3
TOG;2016;3
TPE;2000;42
TPE;2004;47
TPE;2008;44
TPE;2012;33
TPE;2016;36
TTO;2000;7
TTO;2004;10
TTO;2008;13
TTO;2012;12
TTO;2016;18
TUN;2000;7
TUN;2004;12
TUN;2008;12
TUN;2012;21
TUN;2016;21
TUR;2000;20
TUR;2002;2
TUR;2004;27
TUR;2006;7
TUR;2008;21
TUR;2010;6
TUR;2012;67
TUR;2014;6
TUR;2016;54
TUV;2008;1
TUV;2012;1
UAE;2008;2
UAE;2012;2
UAE;2016;3
UGA;2000;4
UGA;2004;2
UGA;2008;2
UGA;2012;4
UGA;2016;8
UKR;2000;152
UKR;2002;43
UKR;2004;162
UKR;2006;48
UKR;2008;166
UKR;2010;51
UKR;2012;143
UKR;2014;56
UKR;2016;145
URU;2000;3
URU;2004;2
URU;2008;3
URU;2012;3
URU;2016;5
USA;2000;340
USA;2002;135
USA;2004;340
USA;2006;138
USA;2008;366
USA;2010;145
USA;2012;343
USA;2014;158
USA;2016;369
UZB;2000;27
UZB;2002;3
UZB;2004;22
UZB;2006;2
UZB;2008;20
UZB;2010;3
UZB;2012;19
UZB;2014;2
UZB;2016;27
VAN;2000;1
VAN;2004;1
VAN;2008;2
VAN;2012;2
VEN;2000;22
VEN;2002;1
VEN;2004;18
VEN;2008;58
VEN;2012;36
VEN;2016;29
VIE;2000;4
VIE;2004;5
VIE;2008;10
VIE;2012;16
VIE;2016;16
VIN;2000;2
VIN;2004;1
VIN;2008;1
VIN;2012;1
VIN;2016;2
YEM;2000;1
YEM;2008;1
YEM;2012;1
YEM;2016;1
ZAM;2000;2
ZAM;2004;2
ZAM;2008;2
ZAM;2012;2
ZAM;2016;2
ZIM;2000;8
ZIM;2004;5
ZIM;2008;8
ZIM;2012;5
ZIM;2016;22
