NOC;Year;Season;Sport;Medallas_Cant;Temp_prom
BEL;2008;Summer;Athletics;5;10
CHN;2016;Summer;Fencing;5;11
CHN;2016;Summer;Badminton;5;11
GRE;2004;Summer;Athletics;5;15
GRE;2000;Summer;Weightlifting;5;15
CHN;2004;Summer;Judo;5;11
FRA;2014;Winter;Freestyle Skiing;5;11
JPN;2010;Winter;Speed Skating;5;11
AUT;2014;Winter;Biathlon;5;6
KOR;2016;Summer;Taekwondo;5;12
BLR;2000;Summer;Athletics;5;6
KOR;2000;Summer;Judo;5;12
RUS;2004;Summer;Cycling;5;-5
AUS;2000;Summer;Equestrianism;5;22
AUT;2014;Winter;Ski Jumping;5;6
NZL;2016;Summer;Rowing;5;11
KOR;2012;Summer;Shooting;5;12
FRA;2004;Summer;Cycling;5;11
GER;2014;Winter;Biathlon;5;9
CHN;2008;Summer;Fencing;5;11
USA;2010;Winter;Snowboarding;5;9
TUR;2004;Summer;Weightlifting;5;11
KAZ;2008;Summer;Wrestling;5;6
FRA;2016;Summer;Judo;5;11
KOR;2010;Winter;Speed Skating;5;12
ROU;2000;Summer;Athletics;5;9
FRA;2002;Winter;Biathlon;5;11
USA;2014;Winter;Alpine Skiing;5;9
KOR;2000;Summer;Badminton;4;12
BRA;2004;Summer;Beach Volleyball;4;25
ESP;2008;Summer;Sailing;4;13
NED;2000;Summer;Cycling;4;9
DEN;2004;Summer;Sailing;4;8
DEN;2004;Summer;Rowing;4;8
ESP;2008;Summer;Canoeing;4;13
KAZ;2000;Summer;Boxing;4;6
JPN;2012;Summer;Fencing;4;11
BRA;2000;Summer;Swimming;4;25
SUI;2008;Summer;Cycling;4;15
ITA;2006;Winter;Short Track Speed Skating;4;13
SWE;2006;Winter;Curling;4;19
SUI;2008;Summer;Equestrianism;4;15
BLR;2000;Summer;Shooting;4;6
UKR;2008;Summer;Fencing;4;8
KAZ;2012;Summer;Weightlifting;4;6
BLR;2016;Summer;Canoeing;4;6
FRA;2008;Summer;Judo;4;11
KAZ;2012;Summer;Boxing;4;6
EST;2016;Summer;Rowing;4;5
FRA;2008;Summer;Sailing;4;11
AUS;2016;Summer;Equestrianism;4;22
FRA;2012;Summer;Tennis;4;11
DEN;2012;Summer;Badminton;4;8
THA;2004;Summer;Weightlifting;4;26
UKR;2012;Summer;Rowing;4;8
SUI;2006;Winter;Curling;4;15
SWE;2010;Winter;Curling;4;19
BRA;2000;Summer;Equestrianism;4;25
BLR;2014;Winter;Biathlon;4;6
THA;2016;Summer;Weightlifting;4;26
SUI;2006;Winter;Snowboarding;4;15
KAZ;2008;Summer;Weightlifting;4;6
SUI;2016;Summer;Rowing;4;15
UKR;2000;Summer;Swimming;4;8
ITA;2014;Winter;Biathlon;4;13
KOR;2008;Summer;Judo;4;12
BAH;2012;Summer;Athletics;4;25
GBR;2000;Summer;Equestrianism;4;12
KOR;2008;Summer;Taekwondo;4;12
BRA;2012;Summer;Judo;4;25
KSA;2012;Summer;Equestrianism;4;25
FIN;2012;Summer;Sailing;4;2
FIN;2006;Winter;Nordic Combined;4;2
FRA;2002;Winter;Alpine Skiing;4;11
BRA;2008;Summer;Sailing;4;25
AZE;2008;Summer;Wrestling;4;12
SUI;2002;Winter;Cross Country Skiing;4;15
FRA;2016;Summer;Sailing;4;11
USA;2000;Summer;Archery;4;9
SVK;2000;Summer;Canoeing;4;7
