NOC;Year;Season;Sport;Medallas_Cant;Temp_prom
CAN;2014;Winter;Snowboarding;2;-5
AUS;2016;Summer;Athletics;2;22
ESP;2016;Summer;Tennis;2;13
AUT;2010;Winter;Snowboarding;2;6
ESP;2000;Summer;Tennis;2;13
BRA;2012;Summer;Swimming;2;25
AUS;2014;Winter;Freestyle Skiing;2;22
ESP;2000;Summer;Cycling;2;13
EGY;2016;Summer;Weightlifting;2;22
AUT;2014;Winter;Luge;2;6
DOM;2012;Summer;Athletics;2;25
FRA;2000;Summer;Shooting;2;11
CAN;2000;Summer;Tennis;2;-5
CAN;2000;Summer;Trampolining;2;-5
ESP;2004;Summer;Canoeing;2;13
GBR;2000;Summer;Canoeing;2;12
GBR;2000;Summer;Modern Pentathlon;2;12
FIN;2008;Summer;Shooting;2;2
FIN;2008;Summer;Rowing;2;2
BRN;2016;Summer;Athletics;2;27
FIN;2006;Winter;Cross Country Skiing;2;2
AUT;2006;Winter;Luge;2;6
GBR;2000;Summer;Shooting;2;12
BUL;2000;Summer;Gymnastics;2;11
FIN;2000;Summer;Sailing;2;2
BUL;2000;Summer;Shooting;2;11
BRA;2016;Summer;Sailing;2;25
ESP;2016;Summer;Swimming;2;13
