NOC;medalla;cantidad
RSA;Gold;12
RSA;Silver;15
RSA;Bronze;21
RUS;Gold;320
RUS;Silver;270
RUS;Bronze;355
SCG;Gold;11
SCG;Silver;14
SCG;Bronze;13
SGP;Gold;1
SGP;Silver;3
SGP;Bronze;4
SLO;Gold;8
SLO;Silver;11
SLO;Bronze;18
SRB;Gold;15
SRB;Silver;29
SRB;Bronze;41
SRI;Silver;1
SRI;Gold;0
SRI;Bronze;0
SUD;Gold;0
SUD;Bronze;0
SUD;Silver;1
SUI;Gold;33
SUI;Silver;37
SUI;Bronze;64
SVK;Gold;14
SVK;Silver;18
SVK;Bronze;12
SWE;Gold;67
SWE;Silver;128
SWE;Bronze;65
SYR;Gold;0
SYR;Silver;0
SYR;Bronze;1
THA;Gold;8
THA;Silver;7
THA;Bronze;9
TJK;Gold;1
TJK;Silver;1
TJK;Bronze;2
TOG;Gold;0
TOG;Silver;0
TOG;Bronze;1
TPE;Gold;3
TPE;Silver;6
TPE;Bronze;16
TTO;Gold;6
TTO;Silver;6
TTO;Bronze;8
TUN;Gold;2
TUN;Silver;1
TUN;Bronze;4
TUR;Gold;10
TUR;Silver;11
TUR;Bronze;15
UAE;Gold;1
UAE;Bronze;1
UAE;Silver;0
UGA;Gold;1
UGA;Silver;0
UGA;Bronze;0
UKR;Gold;36
UKR;Silver;46
UKR;Bronze;80
URU;Gold;0
URU;Bronze;0
URU;Silver;1
USA;Gold;700
USA;Silver;519
USA;Bronze;412
UZB;Gold;9
UZB;Silver;6
UZB;Bronze;16
VEN;Gold;1
VEN;Silver;1
VEN;Bronze;5
VIE;Bronze;0
VIE;Gold;1
VIE;Silver;3
ZIM;Gold;2
ZIM;Silver;4
ZIM;Bronze;1
